"","n_pokoj","metrarz","cena_m2","rok","dzielnica"
"205",4,71.5,4894,1991,"Krzyki"
"206",5,103,5524,2015,"Krzyki"
"207",2,51.39,7328,2017,"Krzyki"
"208",1,40.65,6394,1890,"Śródmieście"
"209",2,42.21,7084,2017,"Krzyki"
"210",2,47.21,6333,2017,"Krzyki"
"211",3,65.18,5201,NA,"Psie Pole"
"212",4,103.69,5777,1877,"Stare Miasto"
"213",3,48.45,7822,1961,"Stare Miasto"
"214",3,49.79,6427,2017,"Krzyki"
"215",3,51.09,5790,2017,"Krzyki"
"216",2,52,7846,2010,"Fabryczna"
"217",3,61.2,5866,2004,"Fabryczna"
"218",2,57,4649,2001,"Fabryczna"
"219",2,29.15,7547,1980,"Psie Pole"
"220",2,47.09,6795,2017,"Stare Miasto"
"221",3,65.73,4853,1930,"Krzyki"
"222",3,105.75,5768,1930,"Śródmieście"
"223",2,35,5686,1980,"Fabryczna"
"224",3,66,4394,1991,"Fabryczna"
"225",3,52,6904,1974,"Krzyki"
"226",3,54.68,6748,2017,"Stare Miasto"
"227",3,63.52,5900,2016,"Fabryczna"
"228",2,64,4922,2001,"Psie Pole"
"229",4,108,6296,2013,"Krzyki"
"230",3,62.6,5415,1981,"Psie Pole"
"231",2,54.53,6290,2009,"Krzyki"
"232",1,39,11538,1950,"Stare Miasto"
"233",3,63.72,4692,1950,"Krzyki"
"234",4,79.57,5894,2017,"Krzyki"
"235",2,46.53,6533,2018,"Stare Miasto"
"236",2,47.1,6900,2017,"Stare Miasto"
"237",5,85,6576,NA,"Śródmieście"
"238",4,104,4413,1993,"Krzyki"
"239",3,61.48,6018,1985,"Krzyki"
"240",2,47.47,5688,2007,"Psie Pole"
"241",3,64.2,6200,2017,NA
"242",3,99,8990,1900,NA
"243",4,126,5516,1910,"Krzyki"
"244",2,45,5331,1930,"Fabryczna"
"245",4,95,4621,1920,"Śródmieście"
"246",3,60,5687,NA,"Śródmieście"
"247",2,45.91,6948,2017,"Krzyki"
"248",2,32.82,7404,2018,"Stare Miasto"
"249",2,49,11755,2015,"Stare Miasto"
"250",2,46.68,7498,2015,"Krzyki"
"251",2,43.63,19459,2007,"Stare Miasto"
"252",3,65.33,5100,2016,"Krzyki"
"253",2,53,5943,1962,"Fabryczna"
"254",4,70,6071,1980,"Fabryczna"
"255",2,53.35,5979,2007,"Fabryczna"
"256",2,59.56,5524,1930,"Śródmieście"
"257",3,85,4588,NA,"Krzyki"
"258",2,47.36,5250,NA,"Psie Pole"
"259",3,106.26,4950,NA,"Fabryczna"
"260",4,75,5320,NA,"Fabryczna"
"261",3,48,5396,1968,"Stare Miasto"
"262",3,66,5985,2006,"Krzyki"
"263",2,42.5,6118,2012,"Fabryczna"
"264",3,69.04,5765,1930,"Fabryczna"
"265",2,48.57,7309,2014,"Fabryczna"
"266",2,43.65,7995,2011,"Krzyki"
"267",2,46.4,7759,2004,"Fabryczna"
"268",3,53.9,6494,1975,"Fabryczna"
"269",2,47.45,6955,2017,"Krzyki"
"270",3,70.1,4565,1930,"Krzyki"
"271",2,48.32,5851,NA,"Psie Pole"
"272",3,67.25,5459,NA,"Psie Pole"
"273",1,28.76,6625,NA,"Psie Pole"
"274",3,83.24,3999,NA,"Krzyki"
"275",3,79.26,4050,NA,"Krzyki"
"276",2,47,7660,2013,"Krzyki"
"277",2,58.11,5163,1930,"Fabryczna"
"278",2,72,4861,1930,"Krzyki"
"279",3,67,5806,1980,"Krzyki"
"280",3,76.8,4688,1940,"Fabryczna"
"281",4,78.5,4994,1970,"Śródmieście"
"282",3,70,5950,2000,"Krzyki"
"283",3,64.7,5487,1990,"Krzyki"
"284",2,45.84,8617,2015,"Krzyki"
"285",2,55,7255,2001,"Krzyki"
"286",3,46.41,7326,2016,"Krzyki"
"287",3,64,4766,2008,"Brak"
"288",3,86.27,5216,1904,"Śródmieście"
"289",3,80.34,5477,1911,NA
"290",3,61.2,6193,2004,"Fabryczna"
"291",3,61.3,6509,1930,"Krzyki"
"292",1,57.17,6280,NA,"Stare Miasto"
"293",2,50.51,6910,NA,"Śródmieście"
"294",3,77,4792,1920,"Psie Pole"
"295",4,87.99,5398,1930,"Śródmieście"
"296",2,60.75,11506,2008,"Śródmieście"
"297",3,54,8426,2016,"Krzyki"
"298",1,39.06,9498,2015,"Krzyki"
"299",3,108,4167,NA,"Śródmieście"
"300",2,70,7571,NA,"Stare Miasto"
"301",2,54.7,6563,2012,"Śródmieście"
"302",5,106.96,5180,2010,"Krzyki"
"303",2,51.77,7920,2008,"Stare Miasto"
"304",4,105.64,6197,NA,"Krzyki"
"305",3,64.1,5892,2010,"Psie Pole"
"306",2,77.54,5442,1909,"Stare Miasto"
"307",2,46.4,5366,2003,"Krzyki"
"308",1,26.5,3774,1945,"Krzyki"
"309",2,44.49,6181,NA,"Fabryczna"
"310",3,66,6212,2009,"Psie Pole"
"311",1,40.65,6396,1890,"Psie Pole"
"312",3,54,8407,2008,"Stare Miasto"
"313",4,72,4861,1991,"Krzyki"
"314",2,43.1,8100,NA,"Krzyki"
"315",4,125.71,19000,NA,"Śródmieście"
"316",3,80.68,10900,2015,"Śródmieście"
"317",4,150.32,11500,2015,"Śródmieście"
"318",1,34.2,8300,NA,"Krzyki"
"319",1,27.73,9100,NA,"Śródmieście"
"320",2,50.04,7850,NA,"Śródmieście"
"321",1,37.85,8300,NA,"Śródmieście"
"322",4,74,6419,2009,"Stare Miasto"
"323",5,130,4308,2014,"Krzyki"
"324",3,63,6905,1995,"Psie Pole"
"325",2,34,7853,1970,"Krzyki"
"326",3,73.1,6826,2011,"Krzyki"
"327",3,52.81,6249,2013,"Psie Pole"
"328",4,77.5,5677,NA,"Psie Pole"
"329",4,94,5585,1994,"Psie Pole"
"330",2,47.63,6823,2007,"Krzyki"
"331",3,72.4,5511,2007,"Fabryczna"
"332",3,59.8,6672,2015,"Fabryczna"
"333",4,123,4390,1930,"Śródmieście"
"334",3,85.56,5493,1906,"Śródmieście"
"335",4,125.1,7357,NA,"Śródmieście"
"336",2,40.16,6698,2009,NA
"337",2,45,6444,NA,"Krzyki"
"338",3,69,6014,2009,"Psie Pole"
"339",3,78.73,8370,1935,"Śródmieście"
"340",4,90.46,5406,NA,"Krzyki"
"341",3,91.87,5442,NA,"Śródmieście"
"342",3,96.99,5980,NA,"Śródmieście"
"343",3,71.4,5532,1993,"Śródmieście"
"344",3,71,6197,1950,"Krzyki"
"345",2,37,7027,2008,"Śródmieście"
"346",3,65,4908,1980,"Krzyki"
"347",4,83.35,5159,1985,"Krzyki"
"348",2,66,8788,2009,"Fabryczna"
"349",2,54,8130,2008,"Stare Miasto"
"350",3,54,5093,NA,"Psie Pole"
"351",3,85,5518,NA,"Śródmieście"
"352",3,108.35,5445,NA,"Stare Miasto"
"353",5,127.47,5091,NA,"Śródmieście"
"354",3,57.5,5565,1971,"Stare Miasto"
"355",2,56.5,5839,2005,"Krzyki"
"356",2,38,5579,1989,"Psie Pole"
"357",3,72,6097,2006,"Krzyki"
"358",4,94,4777,2015,"Fabryczna"
"359",3,63,5714,1999,"Krzyki"
"360",2,56.5,5929,2005,"Krzyki"
"361",2,45.83,8990,2010,"Śródmieście"
"362",2,57,6491,2000,"Krzyki"
"363",5,113,5743,2012,"Krzyki"
"364",4,73,5849,1980,"Fabryczna"
"365",3,60.74,7326,1990,"Krzyki"
"366",2,67.23,8181,1790,"Stare Miasto"
"367",2,62,11919,2012,"Stare Miasto"
"368",3,63.07,5300,NA,"Fabryczna"
