"","n_pokoj","metrarz","cena_m2","rok","dzielnica"
"7854",2,44.23,5490,NA,"Fabryczna"
"7855",2,42.14,6550,NA,"Krzyki"
"7856",2,47.66,5390,NA,"Fabryczna"
"7857",1,91.7,5375,NA,"Fabryczna"
"7858",2,45,5590,NA,"Fabryczna"
"7859",3,56.56,5690,NA,"Fabryczna"
"7860",3,56.56,5690,NA,"Fabryczna"
"7861",2,50.37,5440,NA,"Fabryczna"
"7862",2,42.63,5490,NA,"Fabryczna"
"7863",2,50.37,5440,NA,"Fabryczna"
"7864",2,44.29,5640,NA,"Fabryczna"
"7865",3,55.98,5590,NA,"Krzyki"
"7866",2,47.62,5390,NA,"Fabryczna"
"7867",2,47.58,4747,NA,"Fabryczna"
"7868",3,60.64,6283,NA,"Krzyki"
"7869",3,56.09,5300,NA,"Fabryczna"
"7870",4,77.86,5490,NA,"Fabryczna"
"7871",4,78.31,5390,NA,"Fabryczna"
"7872",2,42.14,6312,NA,"Krzyki"
"7873",3,63.51,5900,NA,"Fabryczna"
"7874",3,63.52,5850,NA,"Fabryczna"
"7875",4,79.76,6100,NA,"Fabryczna"
"7876",2,36.37,6681,NA,"Krzyki"
"7877",1,69.94,5301,NA,"Fabryczna"
"7878",4,79.76,6100,NA,"Fabryczna"
"7879",1,60.92,5462,NA,"Fabryczna"
"7880",3,56.66,5580,NA,"Fabryczna"
"7881",2,47.7,5390,NA,"Fabryczna"
"7882",3,55.4,5315,NA,"Fabryczna"
"7883",2,43.23,6523,NA,"Krzyki"
"7884",2,52.57,5240,NA,"Fabryczna"
"7885",3,56.19,5300,NA,"Fabryczna"
"7886",3,63.52,5850,NA,"Fabryczna"
"7887",3,56.56,5590,NA,"Fabryczna"
"7888",2,47.66,5390,NA,"Fabryczna"
"7889",3,60.9,6200,NA,"Krzyki"
"7890",3,53.8,6100,NA,"Krzyki"
"7891",4,79.76,6115,NA,"Fabryczna"
"7892",3,82.1,5408,NA,"Krzyki"
"7893",3,93.49,5337,NA,"Krzyki"
"7894",3,63.87,5228,NA,"Fabryczna"
"7895",3,53.75,5581,NA,"Krzyki"
"7896",2,39.39,6829,NA,"Stare Miasto"
"7897",2,37.54,6127,NA,"Krzyki"
"7898",4,85.45,5566,NA,"Fabryczna"
"7899",4,65.54,5520,NA,"Fabryczna"
"7900",3,66.2,6325,NA,"Krzyki"
"7901",3,53.85,5300,NA,"Fabryczna"
"7902",2,50.2,6700,NA,"Krzyki"
"7903",2,40.2,6850,NA,"Krzyki"
"7904",2,47.23,6394,NA,"Krzyki"
"7905",3,59.8,6575,NA,"Krzyki"
"7906",3,80.03,4450,NA,"Fabryczna"
"7907",3,82.99,4600,NA,"Fabryczna"
"7908",3,55.57,6350,NA,"Krzyki"
"7909",3,68.18,5375,NA,"Krzyki"
"7910",3,83.45,5956,NA,"Krzyki"
"7911",3,55.03,5260,NA,"Psie Pole"
"7912",3,71.21,6305,NA,"Krzyki"
"7913",3,62.95,6211,NA,"Krzyki"
"7914",2,53.78,6450,NA,"Krzyki"
"7915",3,83.78,5260,NA,"Psie Pole"
"7916",3,63.9,6225,NA,"Krzyki"
"7917",3,71.12,7443,NA,"Stare Miasto"
"7918",3,54.86,7464,NA,"Stare Miasto"
"7919",3,61.03,7622,NA,"Stare Miasto"
"7920",2,47.6,6275,NA,"Krzyki"
"7921",4,87.57,7250,NA,"Psie Pole"
"7922",3,66.61,7150,NA,"Psie Pole"
"7923",3,65.82,7339,NA,"Stare Miasto"
"7924",3,59,6400,NA,"Krzyki"
"7925",2,42.35,5502,NA,"Fabryczna"
"7926",2,47.8,4795,NA,"Fabryczna"
"7927",3,56.6,5199,NA,"Fabryczna"
"7928",3,54.82,5202,NA,"Fabryczna"
"7929",3,51.18,5194,NA,"Fabryczna"
"7930",3,69.1,6125,NA,"Psie Pole"
"7931",3,60.3,6065,NA,"Psie Pole"
"7932",2,47.8,5167,NA,"Fabryczna"
"7933",2,47.8,5167,NA,"Fabryczna"
"7934",3,60.3,5965,NA,"Psie Pole"
"7935",4,79.1,5850,NA,"Psie Pole"
"7936",2,51.38,6026,NA,"Krzyki"
"7937",1,43.73,6077,NA,"Krzyki"
"7938",1,43.73,6077,NA,"Krzyki"
"7939",2,48.02,6077,NA,"Krzyki"
"7940",2,48.28,5923,NA,"Krzyki"
"7941",2,48.28,5400,NA,"Krzyki"
"7942",3,51.09,5890,NA,"Krzyki"
"7943",2,43.48,5890,NA,"Krzyki"
"7944",2,51.9,5590,NA,"Krzyki"
"7945",2,48.07,5790,NA,"Fabryczna"
"7946",2,77.26,5665,NA,"Krzyki"
"7947",2,52.34,5240,NA,"Krzyki"
"7948",3,53.44,5614,NA,"Krzyki"
"7949",2,50.27,5871,NA,"Krzyki"
"7950",3,78,8175,NA,"Stare Miasto"
"7951",2,86.12,4993,NA,"Krzyki"
"7952",2,86.12,5341,NA,"Krzyki"
"7953",3,65.4,7644,NA,"Stare Miasto"
"7954",2,42.79,5330,NA,"Fabryczna"
"7955",2,42.54,5382,NA,"Fabryczna"
"7956",3,67.6,7232,NA,"Stare Miasto"
"7957",2,51.12,4910,NA,"Fabryczna"
"7958",3,59.4,7112,NA,"Stare Miasto"
"7959",2,39.79,5353,NA,"Fabryczna"
"7960",2,42.81,5330,NA,"Fabryczna"
"7961",2,53.6,4907,NA,"Fabryczna"
"7962",2,40.7,5323,NA,"Fabryczna"
"7963",2,40.06,5330,NA,"Fabryczna"
"7964",2,44.5,5800,NA,"Krzyki"
"7965",1,36.6,5994,NA,"Krzyki"
"7966",2,44.5,5399,NA,"Krzyki"
"7967",2,45.6,5525,NA,"Krzyki"
"7968",2,36.1,5525,NA,"Krzyki"
"7969",2,45.9,5525,NA,"Krzyki"
"7970",1,86.11,4703,NA,"Krzyki"
"7971",2,45.9,5500,NA,"Krzyki"
"7972",2,44.08,6783,NA,"Stare Miasto"
"7973",3,66.76,5896,NA,"Fabryczna"
"7974",2,44.41,6575,NA,"Stare Miasto"
"7975",2,37.48,6777,NA,"Stare Miasto"
"7976",2,42,4930,NA,"Krzyki"
"7977",2,46.8,6150,NA,"Krzyki"
"7978",3,57,6200,NA,"Krzyki"
"7979",2,43.74,5190,NA,"Krzyki"
"7980",2,36.37,6681,NA,"Krzyki"
"7981",2,38.76,6390,NA,"Krzyki"
"7982",2,38.76,6390,NA,"Krzyki"
"7983",2,39.95,5190,NA,"Krzyki"
"7984",3,56.67,6441,NA,"Stare Miasto"
"7985",2,39.39,6829,NA,"Stare Miasto"
"7986",2,42.31,5198,NA,"Fabryczna"
"7987",2,36.39,5850,NA,"Psie Pole"
"7988",4,139.7,6846,NA,"Śródmieście"
"7989",4,139.6,7185,NA,"Śródmieście"
"7990",2,43.63,6600,NA,"Krzyki"
"7991",3,62.83,5069,NA,"Krzyki"
"7992",2,56.8,5199,NA,"Krzyki"
"7993",4,139.5,7489,NA,"Śródmieście"
"7994",3,67,5199,NA,"Krzyki"
"7995",3,53.78,6400,NA,"Krzyki"
"7996",2,55.23,4990,NA,"Krzyki"
"7997",2,45.48,6354,NA,"Krzyki"
"7998",3,73.19,5259,NA,"Fabryczna"
"7999",2,50.12,6025,NA,"Fabryczna"
"8000",2,44.31,5290,NA,"Krzyki"
"8001",2,86.88,5365,NA,"Fabryczna"
"8002",3,53.44,5613,NA,"Fabryczna"
"8003",3,80.11,5562,NA,"Fabryczna"
"8004",3,55.06,5665,NA,"Fabryczna"
"8005",2,40.28,6702,NA,"Krzyki"
"8006",3,65.33,5290,NA,"Krzyki"
"8007",4,67,5190,NA,"Krzyki"
"8008",2,73.47,6204,NA,"Krzyki"
"8009",3,60.3,5200,NA,"Psie Pole"
"8010",3,62.2,4892,NA,"Psie Pole"
"8011",2,46.3,5399,NA,"Krzyki"
"8012",2,39.24,6663,NA,"Krzyki"
"8013",3,63.2,5400,NA,"Psie Pole"
"8014",2,39.6,6250,NA,"Psie Pole"
"8015",2,43.74,6400,NA,"Krzyki"
"8016",2,43.87,6400,NA,"Krzyki"
"8017",2,41.14,6400,NA,"Krzyki"
"8018",3,60.7,5550,NA,"Psie Pole"
"8019",2,44.5,5900,NA,"Psie Pole"
"8020",4,104.8,8772,NA,"Śródmieście"
"8021",3,57.8,4892,NA,"Psie Pole"
"8022",2,38.6,5600,NA,"Psie Pole"
"8023",2,49.88,6149,NA,"Krzyki"
"8024",3,52.32,6286,NA,"Krzyki"
"8025",2,39.8,6300,NA,"Psie Pole"
"8026",2,41.9,5399,NA,"Krzyki"
"8027",2,78.45,6400,NA,"Krzyki"
"8028",2,38.6,5702,NA,"Psie Pole"
"8029",2,37.8,5097,NA,"Psie Pole"
"8030",3,128.27,6312,NA,"Krzyki"
"8031",3,85.9,5962,NA,"Krzyki"
"8032",2,42.8,6900,NA,"Krzyki"
"8033",4,125.1,9400,NA,"Śródmieście"
"8034",4,139.7,8900,NA,"Śródmieście"
"8035",4,82.57,7346,NA,"Fabryczna"
"8036",3,49.9,6300,NA,"Krzyki"
"8037",2,50.23,6026,NA,"Krzyki"
"8038",4,93.62,6762,NA,"Krzyki"
"8039",3,57.24,5910,NA,"Stare Miasto"
"8040",2,39.49,6913,NA,"Stare Miasto"
"8041",4,139.6,9400,NA,"Śródmieście"
"8042",4,81.6,7775,NA,"Śródmieście"
"8043",3,67.2,8475,NA,"Śródmieście"
"8044",3,72.7,9975,NA,"Śródmieście"
"8045",3,59.5,7100,NA,"Śródmieście"
"8046",1,83.75,4704,NA,"Fabryczna"
"8047",4,80.99,6565,NA,"Krzyki"
"8048",4,80.99,6630,NA,"Krzyki"
"8049",2,48.11,5974,NA,"Krzyki"
"8050",3,56.77,6968,NA,"Krzyki"
"8051",3,56.9,6849,NA,"Krzyki"
"8052",3,66.79,5250,NA,"Krzyki"
"8053",3,51.51,5440,NA,"Psie Pole"
"8054",3,59.97,6918,NA,"Krzyki"
"8055",4,106.9,8900,NA,"Śródmieście"
"8056",3,78.1,7575,NA,"Śródmieście"
"8057",3,66,7975,NA,"Śródmieście"
"8058",3,66.9,5390,NA,"Psie Pole"
"8059",3,57.2,7775,NA,"Śródmieście"
"8060",3,68.18,5375,NA,"Krzyki"
"8061",3,78.1,8175,NA,"Śródmieście"
"8062",3,67.2,8275,NA,"Śródmieście"
"8063",3,59.09,6333,NA,"Krzyki"
"8064",3,59.13,5450,NA,"Krzyki"
"8065",2,50.1,6200,NA,"Krzyki"
"8066",4,90.6,7475,NA,"Śródmieście"
"8067",3,67.2,7425,NA,"Śródmieście"
"8068",4,81.7,9675,NA,"Śródmieście"
"8069",3,66.2,9275,NA,"Śródmieście"
"8070",2,55.5,8075,NA,"Śródmieście"
"8071",4,81.6,8150,NA,"Śródmieście"
"8072",4,90.3,8175,NA,"Śródmieście"
"8073",2,55.3,7475,NA,"Śródmieście"
"8074",4,82,7491,NA,"Śródmieście"
"8075",3,66.03,5490,NA,"Psie Pole"
"8076",3,66,7575,NA,"Śródmieście"
"8077",4,81.6,7975,NA,"Śródmieście"
"8078",3,57.2,8075,NA,"Śródmieście"
"8079",4,90.7,9775,NA,"Śródmieście"
"8080",3,59.1,8000,NA,"Śródmieście"
"8081",2,55.3,7400,NA,"Śródmieście"
"8082",2,55.1,8575,NA,"Śródmieście"
"8083",3,56,6429,NA,"Krzyki"
"8084",2,46.49,6470,NA,"Krzyki"
"8085",3,63.48,6456,NA,"Krzyki"
"8086",2,49.54,6661,NA,"Krzyki"
"8087",4,75.2,5390,NA,"Psie Pole"
"8088",2,47.03,6681,NA,"Krzyki"
"8089",4,86.51,7275,NA,"Krzyki"
"8090",3,57.83,6633,NA,"Krzyki"
"8091",4,92.49,6157,NA,"Fabryczna"
"8092",4,80.99,6474,NA,"Krzyki"
"8093",3,84.2,4601,NA,"Fabryczna"
"8094",2,38.76,6290,NA,"Krzyki"
"8095",2,38.76,6190,NA,"Krzyki"
"8096",3,57.6,5400,NA,"Psie Pole"
"8097",2,38.76,6194,NA,"Krzyki"
"8098",2,35.36,6790,NA,"Krzyki"
"8099",2,35.36,6790,NA,"Krzyki"
"8100",2,35.36,6690,NA,"Krzyki"
"8101",2,35.36,6590,NA,"Krzyki"
"8102",1,31.97,6600,NA,"Krzyki"
"8103",3,68.18,5225,NA,"Krzyki"
"8104",3,53.78,5950,NA,"Krzyki"
"8105",3,53.78,5950,NA,"Krzyki"
"8106",3,53.78,5950,NA,"Krzyki"
"8107",3,53.78,5950,NA,"Krzyki"
"8108",3,68.55,7743,NA,"Stare Miasto"
"8109",4,79.39,5555,NA,"Krzyki"
"8110",2,47.96,7694,NA,"Stare Miasto"
"8111",3,62.77,5400,NA,"Krzyki"
"8112",1,31.38,5531,NA,"Fabryczna"
"8113",4,105.49,5517,NA,"Krzyki"
"8114",4,105.49,5261,NA,"Krzyki"
"8115",4,68.89,6200,NA,"Krzyki"
"8116",4,67.5,5900,NA,"Krzyki"
"8117",2,47.63,5240,NA,"Krzyki"
"8118",2,41.36,5500,NA,"Krzyki"
"8119",2,38.97,5500,NA,"Krzyki"
"8120",2,38.54,5500,NA,"Krzyki"
"8121",2,38.16,5500,NA,"Krzyki"
"8122",2,37.88,5500,NA,"Krzyki"
"8123",1,62.18,5600,NA,"Krzyki"
"8124",4,113.66,5014,NA,"Krzyki"
"8125",2,54.24,6100,NA,"Krzyki"
"8126",3,61.94,5925,NA,"Krzyki"
"8127",2,54.24,6300,NA,"Krzyki"
"8128",2,54.24,6450,NA,"Krzyki"
"8129",2,54.24,6300,NA,"Krzyki"
"8130",3,53.78,5950,NA,"Krzyki"
"8131",3,53.78,5950,NA,"Krzyki"
"8132",3,53.78,5950,NA,"Krzyki"
"8133",2,44.44,4748,NA,"Fabryczna"
"8134",2,42.12,4796,NA,"Fabryczna"
"8135",2,42.19,5500,NA,"Krzyki"
"8136",2,42.55,4630,NA,"Fabryczna"
"8137",2,42.06,5500,NA,"Krzyki"
"8138",2,41.93,5500,NA,"Krzyki"
"8139",2,42.03,5500,NA,"Krzyki"
"8140",2,41.52,5500,NA,"Krzyki"
"8141",2,41.88,5500,NA,"Krzyki"
"8142",2,41.76,5500,NA,"Krzyki"
"8143",2,41.63,5500,NA,"Krzyki"
"8144",2,41.41,5500,NA,"Krzyki"
"8145",2,41.33,5500,NA,"Krzyki"
"8146",2,41.28,5500,NA,"Krzyki"
"8147",2,41.07,5500,NA,"Krzyki"
"8148",2,41.02,5500,NA,"Krzyki"
"8149",2,40.94,5500,NA,"Krzyki"
"8150",2,40.55,5500,NA,"Krzyki"
"8151",2,40.47,5500,NA,"Krzyki"
"8152",2,40.43,5500,NA,"Krzyki"
"8153",3,65.33,5190,NA,"Krzyki"
"8154",2,44.31,5190,NA,"Krzyki"
"8155",4,75.2,5350,NA,"Psie Pole"
"8156",3,53.78,6400,NA,"Krzyki"
"8157",1,33.53,5547,NA,"Psie Pole"
"8158",4,79.16,6401,NA,"Psie Pole"
"8159",4,74.8,5260,NA,"Psie Pole"
"8160",2,41.24,5500,NA,"Krzyki"
"8161",2,41.11,5500,NA,"Krzyki"
"8162",2,42.65,5240,NA,"Fabryczna"
"8163",3,62.63,5440,NA,"Psie Pole"
"8164",3,55.08,5490,NA,"Fabryczna"
"8165",2,43.96,5240,NA,"Fabryczna"
"8166",3,67.28,7545,NA,"Stare Miasto"
"8167",3,114.6,8160,NA,"Stare Miasto"
"8168",2,46.63,5300,NA,"Krzyki"
"8169",2,49.5,5300,NA,"Krzyki"
"8170",1,28.31,7238,NA,"Krzyki"
"8171",2,40.04,5500,NA,"Krzyki"
"8172",1,33.22,6550,NA,"Krzyki"
"8173",2,39.65,5500,NA,"Krzyki"
"8174",2,39.64,5500,NA,"Krzyki"
"8175",2,39.92,5500,NA,"Krzyki"
"8176",2,39.77,5500,NA,"Krzyki"
"8177",2,41.03,6339,NA,"Krzyki"
"8178",2,62.85,4123,NA,"Psie Pole"
"8179",3,56.57,5980,NA,"Krzyki"
"8180",1,26.3,5990,NA,"Fabryczna"
"8181",2,41.03,6339,NA,"Krzyki"
"8182",2,42.44,5490,NA,"Fabryczna"
"8183",2,39.32,5500,NA,"Krzyki"
"8184",2,37.68,5500,NA,"Krzyki"
"8185",2,38.68,5500,NA,"Krzyki"
"8186",2,37.62,5500,NA,"Krzyki"
"8187",1,33.22,6550,NA,"Krzyki"
"8188",3,60.91,7009,NA,"Stare Miasto"
"8189",2,37.17,5500,NA,"Krzyki"
"8190",2,38.81,5500,NA,"Krzyki"
"8191",2,39.2,5500,NA,"Krzyki"
"8192",2,35.98,5500,NA,"Krzyki"
"8193",3,63.79,6097,NA,"Krzyki"
"8194",4,68.51,5149,NA,"Psie Pole"
"8195",4,82.57,7924,NA,"Fabryczna"
"8196",4,82.57,7915,NA,"Fabryczna"
"8197",4,82.57,7374,NA,"Fabryczna"
"8198",4,92.49,6517,NA,"Fabryczna"
"8199",4,92.49,7107,NA,"Fabryczna"
"8200",4,82.57,8043,NA,"Fabryczna"
"8201",4,92.49,7000,NA,"Fabryczna"
"8202",4,92.49,6157,NA,"Fabryczna"
"8203",4,82.57,7346,NA,"Fabryczna"
"8204",4,92.49,6550,NA,"Fabryczna"
"8205",3,65.57,4899,NA,"Krzyki"
"8206",4,82.57,8593,NA,"Fabryczna"
"8207",4,92.49,6362,NA,"Fabryczna"
"8208",2,43.45,5500,NA,"Krzyki"
"8209",2,37.43,5500,NA,"Krzyki"
"8210",2,40.55,5500,NA,"Krzyki"
"8211",1,33.22,6550,NA,"Krzyki"
"8212",1,33.22,6550,NA,"Krzyki"
"8213",1,33.22,6550,NA,"Krzyki"
"8214",3,53.97,5500,NA,"Krzyki"
"8215",2,35.11,5500,NA,"Krzyki"
"8216",2,36.11,5502,NA,"Krzyki"
"8217",2,33.79,5479,NA,"Krzyki"
"8218",3,57.83,6208,NA,"Krzyki"
"8219",2,45.7,6253,NA,"Fabryczna"
"8220",4,139.5,9900,NA,"Śródmieście"
"8221",3,51.91,5900,NA,"Stare Miasto"
"8222",4,220.9,10900,NA,"Śródmieście"
"8223",3,52.2,5594,NA,"Krzyki"
"8224",3,72.3,5400,NA,"Krzyki"
"8225",2,44.5,5800,NA,"Krzyki"
"8226",1,36.6,5994,NA,"Krzyki"
"8227",1,33.22,6550,NA,"Krzyki"
"8228",1,33.22,6550,NA,"Krzyki"
"8229",2,38.5,6600,NA,"Krzyki"
"8230",2,38.5,6600,NA,"Krzyki"
"8231",2,46.3,5389,NA,"Krzyki"
"8232",3,67.7,5199,NA,"Krzyki"
"8233",3,67.7,5594,NA,"Krzyki"
"8234",1,35.04,6821,NA,"Krzyki"
"8235",4,64.41,5859,NA,"Fabryczna"
"8236",1,28.31,7400,NA,"Krzyki"
"8237",1,26.3,5990,NA,"Fabryczna"
"8238",2,37.5,5500,NA,"Krzyki"
"8239",2,37.43,5500,NA,"Krzyki"
"8240",2,37.57,5500,NA,"Krzyki"
"8241",3,51.73,5350,NA,"Krzyki"
"8242",3,68.18,5375,NA,"Krzyki"
"8243",2,51.55,5475,NA,"Krzyki"
"8244",3,62.77,5375,NA,"Krzyki"
"8245",2,103.39,6918,NA,"Krzyki"
"8246",2,37.37,5500,NA,"Krzyki"
"8247",2,37.3,5500,NA,"Krzyki"
"8248",3,62.22,5630,NA,"Krzyki"
"8249",2,51.55,5475,NA,"Krzyki"
"8250",4,79.39,5425,NA,"Krzyki"
"8251",3,62.3,5450,NA,"Krzyki"
"8252",3,59.18,5325,NA,"Krzyki"
"8253",3,59.13,5400,NA,"Krzyki"
"8254",2,52.45,5450,NA,"Śródmieście"
"8255",3,67.96,5570,NA,"Krzyki"
"8256",2,44.19,7303,NA,"Krzyki"
"8257",3,62.2,5400,NA,"Krzyki"
"8258",2,49.5,5525,NA,"Krzyki"
"8259",3,66.79,5340,NA,"Krzyki"
"8260",3,62.77,5450,NA,"Krzyki"
"8261",3,67.96,5550,NA,"Krzyki"
"8262",3,60.73,5475,NA,"Krzyki"
"8263",3,74.39,7032,NA,"Stare Miasto"
"8264",3,66.79,5450,NA,"Krzyki"
"8265",3,60.73,5550,NA,"Krzyki"
"8266",4,92.6,5713,NA,"Krzyki"
"8267",3,66.79,5400,NA,"Krzyki"
"8268",3,59.13,5450,NA,"Krzyki"
"8269",3,51.73,5550,NA,"Krzyki"
"8270",3,68.18,5225,NA,"Krzyki"
"8271",3,67.96,5550,NA,"Krzyki"
"8272",3,59.18,5500,NA,"Krzyki"
"8273",3,62.2,5580,NA,"Krzyki"
"8274",3,67.96,5375,NA,"Krzyki"
"8275",3,59.13,5450,NA,"Krzyki"
"8276",3,60.73,5475,NA,"Krzyki"
"8277",3,55.26,5450,NA,"Krzyki"
"8278",4,93.4,4515,NA,"Psie Pole"
"8279",3,62.77,5580,NA,"Krzyki"
"8280",3,62.2,5450,NA,"Krzyki"
"8281",3,62.77,5375,NA,"Krzyki"
"8282",3,59.18,5500,NA,"Krzyki"
"8283",3,62.77,5225,NA,"Krzyki"
"8284",2,49.42,5415,NA,"Krzyki"
"8285",3,59.13,5580,NA,"Krzyki"
"8286",2,36.38,5500,NA,"Krzyki"
"8287",2,36.12,5500,NA,"Krzyki"
"8288",3,66.99,6901,NA,"Stare Miasto"
"8289",2,35.99,5500,NA,"Krzyki"
"8290",2,36.25,5480,NA,"Krzyki"
"8291",2,36,5500,NA,"Krzyki"
"8292",2,35.81,5428,NA,"Krzyki"
"8293",1,36.6,5994,NA,"Krzyki"
"8294",2,35.8,5500,NA,"Krzyki"
"8295",4,98.3,4623,NA,"Psie Pole"
"8296",4,93.63,5890,NA,"Krzyki"
"8297",3,62.92,7033,NA,"Stare Miasto"
"8298",4,85.4,5001,NA,"Psie Pole"
"8299",3,67.7,5199,NA,"Krzyki"
"8300",4,89.32,5590,NA,"Krzyki"
"8301",3,52.5,5990,NA,"Krzyki"
"8302",3,60.91,6998,NA,"Stare Miasto"
"8303",2,42.49,6613,NA,"Stare Miasto"
"8304",3,70.96,5975,NA,"Stare Miasto"
"8305",3,55.32,7045,NA,"Stare Miasto"
"8306",3,62.13,5890,NA,"Krzyki"
"8307",2,43.31,6442,NA,"Stare Miasto"
"8308",2,43.33,6439,NA,"Stare Miasto"
"8309",3,70.96,6187,NA,"Stare Miasto"
"8310",4,77.03,6290,NA,"Krzyki"
"8311",3,47.09,6583,NA,"Stare Miasto"
"8312",2,47.09,6583,NA,"Stare Miasto"
"8313",2,51.7,7095,NA,"Stare Miasto"
"8314",2,48.9,5690,NA,"Krzyki"
"8315",3,54.63,5967,NA,"Stare Miasto"
"8316",2,48.19,6640,NA,"Stare Miasto"
"8317",2,45.31,6511,NA,"Stare Miasto"
"8318",3,49.68,5500,NA,"Krzyki"
"8319",2,42.49,6613,NA,"Stare Miasto"
"8320",3,52.51,5974,NA,"Fabryczna"
"8321",2,48.02,6077,NA,"Krzyki"
"8322",2,49.88,6129,NA,"Krzyki"
"8323",2,48.02,6129,NA,"Krzyki"
"8324",4,85.44,4418,NA,"Fabryczna"
"8325",4,124.06,4586,NA,"Krzyki"
"8326",2,57.47,4689,NA,"Fabryczna"
"8327",2,48.18,6005,NA,"Krzyki"
"8328",2,48.18,5974,NA,"Krzyki"
"8329",2,44.53,6097,NA,"Krzyki"
"8330",2,45.2,5305,NA,"Psie Pole"
"8331",2,44.53,6097,NA,"Krzyki"
"8332",2,47.8,5126,NA,"Fabryczna"
"8333",2,44.53,6097,NA,"Krzyki"
"8334",2,44.53,6097,NA,"Krzyki"
"8335",2,44.53,6097,NA,"Krzyki"
"8336",2,47.8,5126,NA,"Fabryczna"
"8337",2,47.4,4795,NA,"Fabryczna"
"8338",4,110.34,4720,NA,"Psie Pole"
"8339",2,73.47,6198,NA,"Krzyki"
"8340",3,59.85,5050,NA,"Psie Pole"
"8341",2,46.96,4840,NA,"Fabryczna"
"8342",5,110.79,5789,NA,"Krzyki"
"8343",3,74.98,5135,NA,"Krzyki"
"8344",2,43.29,5450,NA,"Psie Pole"
"8345",2,44,4599,NA,"Fabryczna"
"8346",3,60.81,5149,NA,"Psie Pole"
"8347",2,44,4599,NA,"Fabryczna"
"8348",3,56.57,5980,NA,"Krzyki"
"8349",4,110.08,4449,NA,"Psie Pole"
"8350",2,39.49,6913,NA,"Stare Miasto"
"8351",3,59.8,4950,NA,"Psie Pole"
"8352",4,85.41,4600,NA,"Psie Pole"
"8353",4,93.48,4197,NA,"Psie Pole"
"8354",3,56.4,5350,NA,"Psie Pole"
"8355",4,90.51,7772,NA,"Stare Miasto"
"8356",4,80.1,6475,NA,"Krzyki"
"8357",3,73.39,4549,NA,"Psie Pole"
"8358",3,54.91,7337,NA,"Stare Miasto"
"8359",2,46.53,6533,NA,"Stare Miasto"
"8360",3,50.08,6097,NA,"Krzyki"
"8361",2,41.03,6339,NA,"Krzyki"
"8362",1,32.5,6462,NA,"Śródmieście"
"8363",2,40.11,6335,NA,"Krzyki"
"8364",1,26.76,7377,NA,"Krzyki"
"8365",3,50.08,6097,NA,"Krzyki"
"8366",3,60.6,5509,NA,"Śródmieście"
"8367",2,44.5,5800,NA,"Śródmieście"
"8368",2,39.6,5902,NA,"Śródmieście"
"8369",2,35.7,5182,NA,"Psie Pole"
"8370",3,50.08,6097,NA,"Krzyki"
"8371",2,48.82,5199,NA,"Krzyki"
"8372",2,48.18,5199,NA,"Krzyki"
"8373",3,50.08,6097,NA,"Krzyki"
"8374",3,55.79,6097,NA,"Krzyki"
"8375",2,44.08,6300,NA,"Krzyki"
"8376",2,45.73,6450,NA,"Krzyki"
"8377",2,44.08,6500,NA,"Krzyki"
"8378",2,44.08,6500,NA,"Krzyki"
"8379",3,54.93,6390,NA,"Krzyki"
"8380",2,41.93,5485,NA,"Krzyki"
"8381",2,43.45,5478,NA,"Krzyki"
"8382",3,49.52,5493,NA,"Krzyki"
"8383",3,51.07,5483,NA,"Krzyki"
"8384",3,53.53,5418,NA,"Krzyki"
"8385",2,52.24,5760,NA,"Śródmieście"
"8386",4,98.3,4619,NA,"Psie Pole"
"8387",2,52.45,5450,NA,"Śródmieście"
"8388",3,52.65,5459,NA,"Fabryczna"
"8389",4,62.74,5259,NA,"Fabryczna"
"8390",3,54.05,5495,NA,"Krzyki"
"8391",2,39.64,5474,NA,"Krzyki"
"8392",2,39.51,5720,NA,"Krzyki"
"8393",3,53,5491,NA,"Krzyki"
"8394",2,40.43,5491,NA,"Krzyki"
"8395",3,62.13,5790,NA,"Krzyki"
"8396",2,42.8,6900,NA,"Krzyki"
"8397",3,67.31,4899,NA,"Krzyki"
"8398",3,53.78,6400,NA,"Krzyki"
"8399",2,45.11,7667,NA,"Stare Miasto"
"8400",3,67.31,4899,NA,"Krzyki"
"8401",2,48.84,5199,NA,"Krzyki"
"8402",3,48.69,5349,NA,"Krzyki"
"8403",3,48.69,5349,NA,"Krzyki"
"8404",2,48.79,5199,NA,"Krzyki"
"8405",3,115.38,8103,NA,"Stare Miasto"
"8406",3,65.57,4899,NA,"Krzyki"
"8407",2,48.71,5200,NA,"Krzyki"
"8408",4,92.8,8002,NA,"Stare Miasto"
"8409",3,65.45,4899,NA,"Krzyki"
"8410",4,92.54,7722,NA,"Stare Miasto"
"8411",2,48.82,5199,NA,"Krzyki"
"8412",4,92.81,7725,NA,"Stare Miasto"
"8413",3,67.31,4899,NA,"Krzyki"
"8414",2,49.1,5199,NA,"Krzyki"
"8415",2,40.83,5828,NA,"Fabryczna"
"8416",4,80.99,6565,NA,"Krzyki"
"8417",3,63.31,6241,NA,"Krzyki"
"8418",3,53.25,6139,NA,"Krzyki"
"8419",3,64.37,6331,NA,"Krzyki"
"8420",3,52.81,6359,NA,"Krzyki"
"8421",3,64.41,6539,NA,"Krzyki"
"8422",3,64.37,6540,NA,"Krzyki"
"8423",4,80.99,6474,NA,"Krzyki"
"8424",3,64.31,6249,NA,"Krzyki"
